Repeat,Model,Contamination,RMSE,MAE,R2
9,Ridge,0.1,0.7520316336094669,0.5372235705718956,0.5684159774999993
9,LASSO,0.1,0.7440234214345364,0.5386622907092066,0.5775587157634785
9,Huber,0.1,0.7584679551725102,0.5167292779276542,0.5609968730557543
10,OLS,0.1,0.7425269941560637,0.5308895905700576,0.5792562885286627
10,Ridge,0.1,0.742506556876728,0.5308820112265488,0.5792794492716133
10,LASSO,0.1,0.7392658019999806,0.5332932455384651,0.5829440006277141
10,Huber,0.1,0.757798486812803,0.5186883381975897,0.5617715109166438
11,OLS,0.1,0.7597214186086005,0.5366192888736876,0.559544658593938
11,Ridge,0.1,0.7596702182339188,0.5365960659467703,0.559604024351031
11,LASSO,0.1,0.7476313243868085,0.5352189993631477,0.573451795213801
11,Huber,0.1,0.7611938474423419,0.5195627291827177,0.557835696332082
12,OLS,0.1,0.7433585112285586,0.5351879964030569,0.5783134232201859
12,Ridge,0.1,0.7433327438051414,0.5351771891368461,0.5783426569965833
12,LASSO,0.1,0.7385412670854599,0.5366249766142701,0.5837610911973432
12,Huber,0.1,0.7594423000158996,0.518719555555768,0.5598682421821655
13,OLS,0.1,0.748863024824903,0.5357865019815873,0.5720451864556677
13,Ridge,0.1,0.7488382959074539,0.535780049647748,0.5720734497940139
13,LASSO,0.1,0.7430332849773659,0.5375518448898736,0.5786823260892218
13,Huber,0.1,0.7596509675402198,0.5196137763368391,0.5596263440903362
14,OLS,0.1,0.7515768923125029,0.531944030551998,0.5689377633718586
14,Ridge,0.1,0.751541718175796,0.5319340594007447,0.568978110240943
14,LASSO,0.1,0.7438539110365563,0.5329843416601525,0.5777511829114914
14,Huber,0.1,0.7618146975968564,0.5189465363520381,0.5571141200103265
15,OLS,0.1,0.7484305993013917,0.5385798125844962,0.5725392825661293
15,Ridge,0.1,0.7483959067160333,0.5385658228100613,0.5725789104854957
15,LASSO,0.1,0.7403403183785431,0.5380371462412674,0.581730745043719
15,Huber,0.1,0.7583594534349565,0.5189901367565578,0.561122466219519
16,OLS,0.1,0.7487814712354908,0.5328770720667965,0.5721383926884891
16,Ridge,0.1,0.748749500250876,0.5328673299055682,0.572174929022141
16,LASSO,0.1,0.741576438806591,0.5338000532791104,0.5803328398044844
16,Huber,0.1,0.7589968376379083,0.5191887588137641,0.5603844226421028
17,OLS,0.1,0.7446439173924637,0.5346635347535116,0.5768538121175337
17,Ridge,0.1,0.744634014834179,0.5346645074924289,0.5768650663608814
17,LASSO,0.1,0.7429672128245807,0.5393809370641343,0.5787572517449215
17,Huber,0.1,0.758655892509236,0.5188282871076781,0.5607792889120626
18,OLS,0.1,0.7447442958505442,0.535480744258778,0.5767397236956662
18,Ridge,0.1,0.7447132413365689,0.5354669764515765,0.5767750213627856
18,LASSO,0.1,0.7385971509156489,0.5361537527439919,0.5836980970070651
18,Huber,0.1,0.7581595046153462,0.5191306573707807,0.5613538643407269
19,OLS,0.1,0.7452384626392823,0.5357054213860961,0.5761778380498379
19,Ridge,0.1,0.7452165197494699,0.5357005197268888,0.5762027958225577
19,LASSO,0.1,0.740790102836424,0.5380536421104128,0.5812223621994168
19,Huber,0.1,0.7578423923273228,0.5186307956738236,0.5617207290662973
20,OLS,0.1,0.7434668418147637,0.5279125571512805,0.5781905084166744
20,Ridge,0.1,0.7434485300913632,0.5279066385007218,0.578211286649625
20,LASSO,0.1,0.7405931239194369,0.5299995505847291,0.5814450417357254
20,Huber,0.1,0.7604175680573214,0.5181278197606006,0.5587370909298585
21,OLS,0.1,0.7474258515570359,0.5397717639166006,0.5736862209798891
21,Ridge,0.1,0.747398481046675,0.5397649554980253,0.5737174433734797
21,LASSO,0.1,0.7409042370269397,0.5408537101701865,0.5810933093717272
21,Huber,0.1,0.7593802157075561,0.5193213658880276,0.5599402006676086
22,OLS,0.1,0.7482340313629956,0.5371061049700235,0.5727637897892981
22,Ridge,0.1,0.7481981727291598,0.5370940450214178,0.5728047388482236
22,LASSO,0.1,0.7403172950403796,0.5375573115164792,0.5817567595792603
22,Huber,0.1,0.7595027235002603,0.5187647359729265,0.559798203016991
23,OLS,0.1,0.7473785063820818,0.5326296575863714,0.573740228373782
23,Ridge,0.1,0.7473461982115696,0.5326172361640525,0.5737770808537535
23,LASSO,0.1,0.7409922795114042,0.5338424636975674,0.580993745149258
23,Huber,0.1,0.7607436702978638,0.5194773435439216,0.5583585418689998
24,OLS,0.1,0.7485851642188541,0.5364198098679835,0.5723627070681203
24,Ridge,0.1,0.7485630251352746,0.5364150822673464,0.5723880010713249
24,LASSO,0.1,0.7441378068846737,0.5392108398271006,0.5774288143397208
24,Huber,0.1,0.7614324502155151,0.5199277877768517,0.5575584524615347
